symbol,name,currency,sector,sectorcode,ISIN,trailingPE,EPS,analist_estimate,Price_book,TangibleValuePerShare,enterpriseToEbitda,totalDebt,currentRatio,growthrate,growthrate_quarter,beta,priceToSalesTrailing12Months,extrainfo,value_score,risc_score,growth_score
INWI.ST,Inwido,SEK,Industrials,5010,SE0006220018,10.293688,10.249,1.0,1.4160314,0.00305776831559276,5.467,0.32768811253732,1.166,0.0388728887288873,1.10853889943074,,0.6713989,,40.0,10.0,10.0
IPCO.TO,International Petroleum Corp.,SEK,Energy,6010,CA46016U1084,0.0,-0.611,1.0,3.2236843,0.00399365152512983,3.274,0.13673276399392,4.378,0.115127613328254,2.94925526255794,3.002141,2.350282,,20.0,30.0,40.0
IRLAB-A.ST,IRLAB Therapeutics A,SEK,Health Care,2010,SE0012675361,0.0,-1.922,1.0,5.62249,0.0,32.917,0.00261229344270108,6.807,265.135204081633,-0.222054182009469,0.480958,8.142434,,0.0,30.0,40.0
ISOFOL.ST,Isofol Medical,SEK,Health Care,2010,SE0009581051,0.0,-3.07,1.0,0.9022557,0.0,0.764,0.00231316653317512,3.604,0.0,1.09479934872139,1.891741,6.499598,SMALL CAP,40.0,20.0,10.0
ITAB.ST,ITAB Shop Concept,SEK,Industrials,5010,SE0015962097,3433.3333,0.003,1.0,0.8656917,0.00489665825331749,7.684,0.768330195020544,1.408,-0.019109600397944,4.79411764705882,1.46427,0.33270586,,30.0,50.0,20.0
IVSO.ST,INVISIO,SEK,Industrials,5020,SE0001200015,124.254005,1.307,1.0,17.94475,0.017115295710282,1175.181,0.0143088296123925,3.402,0.405712270803949,1.0,1.053915,12.343509,,0.0,50.0,40.0
JOMA.ST,John Mattson Fastighetsföret.,SEK,Real Estate,3510,SE0012481364,5.661041,14.22,1.0,0.7939874,0.0278407240036642,41.873,3.42871309857215,0.069,0.3460833715071,1.55778894472362,0.754185,5.2321115,,40.0,50.0,50.0
K2A-B.ST,K2A Knaust & Andersson B,SEK,Real Estate,3510,SE0010520254,1.3931457,10.767,1.0,0.14541365,4.23191098117695,28.297,7.27042560554873,0.347,0.964031971580817,0.326263256394261,,2.7058392,,40.0,40.0,40.0
K2A-PREF.ST,K2A Knaust & Andersson Pref,SEK,Real Estate,3510,SE0006852075,19.875546,10.767,1.0,2.074568,8.74698785091819,88.241,15.0273303776,0.347,0.964031971580817,0.326263256394261,,0.2756792,,0.0,60.0,40.0
KAMUX.HE,Kamux Oyj,EUR,Consumer Services,4040,FI4000206750,8.896552,0.58,1.0,2.1553884,0.643716618106779,8.653,0.42558975203144,2.056,0.348901098901099,0.464646464646465,1.527599,0.2098911,SMALL CAP,30.0,20.0,40.0
KAR.ST,Karnov Group,SEK,Consumer Services,4020,SE0012323715,54.31373,1.02,1.0,3.5054417,0.223146363391772,25.325,0.247498457473152,1.547,0.0910574941776101,0.319215081575806,0.48796,5.8827863,,0.0,50.0,10.0
KLARA-B.ST,KlaraBo Sverige B,SEK,Real Estate,3510,SE0010832287,2.3458834,7.251,1.0,0.5844557,,30.641,2.49022270534119,8.932,305.25,1.5473441108545,,4.7639565,,40.0,40.0,50.0
KNOW.ST,Knowit,SEK,Technology,1010,SE0000421273,16.790983,12.066,1.0,2.359161,0.00812518338343866,10.267,0.264110317829283,1.42,0.184554458464037,0.380820626643762,,0.8627012,,0.0,30.0,40.0
KVIKA.IC,Kvika banki,ISK,Financials,3010,IS0000020469,2.9651163,6.88,1.0,0.6948466,0.22336388282056,0.0,1.67822474194508,,0.818726463625584,0.0,0.684612,2.073313,FINANCE,40.0,40.0,40.0
LASP.CO,Lån og Spar Bank,DKK,Financials,3010,DK0010201532,14.536194,44.372,1.0,1.0782527,0.0,0.0,0.215068996598438,,0.128187834770055,0.0,0.047924,2.2442272,FINANCE,20.0,20.0,20.0
LAT1V.HE,Lassila & Tikanoja Oyj,EUR,Utilities,6510,FI0009010854,18.699472,0.569,1.0,2.2681732,0.0145493283882057,8.879,0.579013950093338,0.927,-0.0180441286462229,0.554945054945055,0.822849,0.47635034,,10.0,50.0,0.0
LIME.ST,Lime Technologies,SEK,Technology,1010,SE0011870195,43.13646,4.91,1.0,22.025791,0.072083505586549,31.312,0.0922914662673555,0.441,0.306286762147626,0.955859298451891,1.476437,6.0086694,,0.0,50.0,40.0
LINC.ST,Linc,SEK,Financials,3020,SE0015949433,8.500075,6.647,1.0,0.9049122,0.0,0.0,0.0,272.76,0.525362984745451,-2.34995199561103,,-3.3868358,FINANCE,40.0,20.0,40.0
LOGI-A.ST,Logistea A,SEK,Consumer Services,4020,SE0017131329,2.8481014,4.108,1.0,0.12797235,,43.867,25.1040238875386,0.52,-0.475416739143039,2.81818181818182,2.583654,3.8618379,SMALL CAP,40.0,60.0,20.0
LOGI-B.ST,Logistea B,SEK,Consumer Services,4020,SE0017131337,2.2796981,4.108,1.0,0.102432564,,41.45,2.83166700936639,0.52,-0.475416739143039,2.81818181818182,2.583654,6.0001326,,40.0,50.0,20.0
LUC.TO,Lucara Diamond Corp,SEK,Basic Materials,5510,CA54928Q1081,0.0,-0.086,1.0,0.952381,0.104760116021762,2.276,0.283549831098262,3.368,0.0273978239524153,0.847995545657016,1.53319,0.90177757,SMALL CAP,40.0,20.0,0.0
LUG.TO,Lundin Gold,SEK,Basic Materials,5510,CA5503711080,0.0,-0.255,1.0,5.766366,0.0,6.115,0.188106645606187,1.805,0.0,0.906042029434916,0.947002,4.449611,,10.0,30.0,0.0
MANG.ST,Mangold,SEK,Financials,3020,SE0001449380,38.601524,90.67,1.0,11.392043,0.0,0.0,0.0,1.078,0.557729213032216,0.0,0.77792,9.421768,FINANCE,0.0,60.0,40.0
MATAS.CO,Matas,DKK,Consumer Services,4040,DK0060497295,10.372623,6.575,1.0,0.8639801,0.3464737489207,6.578,0.625840372642423,0.794,0.111004433400164,1.72681281618887,1.322635,0.5870181,,40.0,20.0,30.0
MCAP.ST,MedCap,SEK,Health Care,2010,SE0009160872,48.314873,4.243,1.0,5.0919027,0.0970180697390263,18.788,0.0766261562692615,2.014,0.135943888340618,1.67857142857143,0.794608,2.978625,FINANCE,0.0,60.0,30.0
MEKKO.HE,Marimekko Oyj,EUR,Consumer Services,4020,FI0009007660,5.2740126,1.697,1.0,1.3752304,0.0,11.742,0.439990930091227,1.961,0.146535542863272,0.429271972840438,1.544715,0.441716,SMALL CAP,30.0,20.0,20.0
MEKO.ST,MEKO,SEK,Consumer Services,4010,SE0002110064,14.485006,7.67,1.0,1.3822706,-0.00575306894186651,9.205,0.749816611179222,1.61,0.390422588353666,0.729411764705882,1.287548,0.48613504,,30.0,20.0,40.0
MMGR-B.ST,Momentum Group B,SEK,Industrials,5020,SE0017562523,9.86797,5.832,1.0,0.9185514,-1737619461.32059,15.451,1737619461.32059,1.413,0.0570651590719064,1.42857142857143,,,SMALL CAP,40.0,60.0,20.0
MSON-A.ST,Midsona A,SEK,Consumer Goods,4520,SE0000565210,4.775395,2.471,1.0,0.31828234,225.840980678239,16.19,434.637359041139,1.705,0.175929172510519,0.526315789473684,0.8635,0.22858277,SMALL CAP,40.0,50.0,40.0
MSON-B.ST,Midsona B,SEK,Consumer Goods,4520,SE0000565228,3.3346822,2.471,1.0,0.22225817,1.33231589080179,14.325,2.56407963890156,1.705,0.175929172510519,0.526315789473684,0.8635,0.15424329,,40.0,40.0,40.0
MTG-A.ST,Modern Times Group A,SEK,Consumer Services,4030,SE0018012486,0.0,-2.666,1.0,1.1747532,-107.030298726877,0.918,19.9095874835407,1.474,0.131606352512367,1.67368421052632,1.154043,1.3976619,SMALL CAP,30.0,60.0,30.0
MTG-B.ST,Modern Times Group B,SEK,Consumer Services,4030,SE0018012494,0.0,-2.666,1.0,1.1949117,-0.522734003703944,1.044,0.0972380578318582,1.474,0.131606352512367,1.67368421052632,1.154043,1.4680111,,30.0,10.0,30.0
MUSTI.HE,Musti Group Oyj,EUR,Consumer Services,4040,FI4000410758,31.008404,0.476,1.0,3.0628762,0.101493227659249,17.86,0.289179994063281,0.859,0.0,0.772578380907815,1.488461,1.2905885,,0.0,50.0,0.0
NETEL.ST,Netel Holding,SEK,Industrials,5010,SE0016798417,0.0,,1.0,0.0,0.00552556898337888,12.677,0.553938290583733,1.718,0.0,1.36363636363636,,0.53464353,,0.0,40.0,10.0
NEWA-B.ST,New Wave B,SEK,Consumer Services,4020,SE0000426546,29.305477,7.084,1.0,3.3960967,0.319368275833678,8.907,0.171624297259133,2.913,0.0337447938193495,1.39201520912548,1.640136,1.7738767,,10.0,40.0,10.0
NIVI-B.ST,Nivika Fastigheter B,SEK,Real Estate,3510,SE0017083272,4.3252597,10.115,1.0,0.73466444,0.0311762600333565,27.424,3.82654042570359,1.928,0.688617269328991,1.34845373951519,,5.327343,,40.0,50.0,50.0
NLFSK.CO,Nilfisk Holding,DKK,Industrials,5020,DK0060907293,0.0,-0.744,1.0,28.174685,0.0770730463944455,43.699,0.102193540504559,1.786,-0.0874039647159253,0.99,1.672657,3.6657298,,0.0,40.0,0.0
NMAN.ST,Nederman Holding,SEK,Industrials,5010,SE0011204510,43.203373,3.796,1.0,3.9765286,0.226679263125244,12.646,0.378661765974285,1.575,0.0958524437941417,1.15537848605578,1.350021,1.1952293,,0.0,50.0,20.0
NNIT.CO,NNIT,DKK,Technology,1010,DK0060580512,21.217106,3.04,1.0,1.4219576,0.00188353464865581,12.243,0.570083153659824,1.306,-0.0212836714333222,-0.523809523809524,1.262302,0.5569056,,10.0,40.0,0.0
NOBI.ST,Nobia,SEK,Consumer Services,4020,SE0000949331,13.075611,1.759,1.0,0.85827297,0.312804378549624,5.237,0.898634560688376,1.095,0.014440911499735,0.271929824561403,1.484381,0.26898,,50.0,20.0,0.0
NOHO.HE,NoHo Partners Oyj,EUR,Consumer Services,4050,FI4000064332,0.0,-1.44,1.0,1.8682151,0.119169725590393,11.62,2.15754477731452,0.453,-0.0157665984342643,2.94607784787525,1.750534,0.5266988,SMALL CAP,10.0,70.0,20.0
NORB-B.ST,Nordisk Bergteknik B,SEK,Basic Materials,5510,SE0015812128,36.357784,0.777,1.0,3.6560113,0.302535035656934,10.765,0.85881356115336,1.634,1.03586700363106,2.41296928327645,,0.55823565,,0.0,60.0,60.0
NORTHM.CO,North Media,DKK,Consumer Services,4030,DK0010270347,3.4131734,16.7,1.0,1.1643108,0.00541417469608111,2.357,0.117661617948763,7.206,-0.0677133374093807,0.933453237410072,1.414206,0.9943491,,50.0,20.0,0.0
NORVA.ST,Norva24 Group,SEK,Industrials,5020,SE0017084759,0.0,,1.0,0.0,0.00191542117291667,21.803,0.195497112981437,1.081,0.510981831667191,2.46124031007752,,2.4896002,,0.0,30.0,60.0
NOTE.ST,NOTE,SEK,Industrials,5020,SE0001161654,40.67483,4.327,1.0,8.106489,0.00245468698318195,13.563,0.110917105564461,1.506,0.388425165950107,0.679899111744709,1.693624,1.4525594,,0.0,50.0,40.0
NPAPER.ST,Nordic Paper Holding,SEK,Basic Materials,5510,SE0014808838,10.345893,3.238,1.0,3.4013605,0.176671760999869,4.742,0.662072962938904,1.468,0.0,-14.7142857142857,0.451929,0.60124594,,30.0,40.0,0.0
NWG.ST,Nordic Waterproofing Holding,SEK,Industrials,5010,SE0014731089,13.141756,11.414,1.0,2.4617202,0.209417367977826,8.624,0.302888360186719,1.59,0.19114079934321,2.35975609756098,1.151048,0.85630983,,20.0,20.0,60.0
OEM-B.ST,OEM International B,SEK,Industrials,5020,SE0017766843,13.426772,4.923,1.0,3.0876305,0.00271863381521923,10.624,0.114512151610749,1.949,0.0819113724734085,1.24370956146657,0.970047,1.0249196,,10.0,30.0,20.0
OKDAV.HE,Oriola Oyj A,EUR,Health Care,2010,FI0009014344,90.75001,0.02,1.0,2.0886075,2.35227153612737,0.0,102629648.173097,,0.120522484215952,0.741176470588235,,,SMALL CAP,0.0,80.0,20.0
